x1 = 0.1
x5 = 0.1
x8 = 0.0707813
x9 = 0.1
x13 = 0.0927807
x15 = 0.1
x21 = 0.1
x24 = 0.1
x25 = 0.1
x34 = 0.0876952
x56 = 0.1
x61 = 0.1
x62 = 0.1
x64 = 0.1
x78 = 0.1
x82 = 0.0839199
x88 = 0.0666545
x95 = 0.1
x98 = 0.048768
x99 = 0.0902477
x107 = 0.1
x109 = 0.1
x113 = 0.1
x121 = 0.0994823
x122 = 0.1
x125 = 0.1
x126 = 0.0556125
x134 = 0.1
x150 = 0.1
x155 = 0.1
x168 = 0.1
x177 = 0.1
x181 = 0.1
x182 = 0.1
x194 = 0.1
x197 = 0.1
x199 = 0.1
x207 = 0.1
x213 = 0.0566885
x232 = 0.1
x237 = 0.0918107
x241 = 0.1
x242 = 0.0937984
x248 = 0.0684344
x251 = 0.1
x257 = 0.1
x264 = 0.1
x270 = 0.1
x274 = 0.094903
x287 = 0.0787438
x291 = 0.1
x295 = 0.1
x301 = 0.1
x303 = 0.1
x308 = 0.1
x310 = 0.1
x318 = 0.1
x321 = 0.0748329
x331 = 0.1
x335 = 0.1
x357 = 0.1
x359 = 0.1
x363 = 0.1
x373 = 0.1
x374 = 0.1
x381 = 0.061585
x399 = 0.0785271
x400 = 0.1
x405 = 0.1
x438 = 0.1
x440 = 0.1
x447 = 0.1
x448 = 0.0939395
x453 = 0.1
x456 = 0.1
x457 = 0.1
x460 = 0.1
x468 = 0.1
x473 = 0.1
x478 = 0.1
x480 = 0.1
x482 = 0.1
x486 = 0.0838691
x491 = 0.1
x494 = 0.1
END
